Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT4G33770,Up,0.005036521, AT4G33770,"Inositol 1,3,4-trisphosphate 5/6-kinase family protein "
AT4G10330,Down,0.005117236, AT4G10330,Glycine-rich protein 
AT1G34010,Down,0.005132713, AT1G34010,Uncharacterized protein 
AT5G65280,Up,0.005161236, GCL1,GCR2-like 1 
AT1G21100,Up,0.005167231, IGMT1,O-methyltransferase family protein 
AT1G79260,Down,0.005222811, AT1G79260,Nitrobindin heme-binding domain protein 
AT2G44790,Up,0.005262671, UCC2,Uclacyanin 2 
AT5G64170,Up,0.005345424, AT5G64170,Dentin sialophosphoprotein-like protein 
AT2G28740,Down,0.005378975, HIS4,Histone H4 
AT5G13130,Down,0.005417944, AT5G13130,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein "
AT1G52565,Up,0.005419856, AT1G52565,Cytochrome P450 family protein 
AT5G23730,Down,0.005463197, RUP2,Transducin/WD40 repeat-like superfamily protein 
AT3G56620,Down,0.005499245, UMAMIT10,Nodulin MtN21 /EamA-like transporter family protein 
AT1G33610,Up,0.005499245, AT1G33610,Leucine-rich repeat (LRR) family protein 
AT2G26440,Up,0.005512888, AT2G26440,Plant invertase/pectin methylesterase inhibitor superfamily 
AT3G04350,Down,0.005543594, AT3G04350,Vacuolar sorting-associated protein (DUF946) 
AT2G03230,Up,0.005606696, AT2G03230,GCK domain-containing protein 
AT1G67980,Up,0.005611197, CCOAMT,Caffeoyl-CoA 3-O-methyltransferase 
AT2G27830,Up,0.005623953, AT2G27830,Uncharacterized protein 
AT4G14090,Down,0.005659811, AT4G14090,UDP-Glycosyltransferase superfamily protein 
AT3G02020,Up,0.005659811, AK3,Aspartate kinase 3 
AT1G03230,Up,0.005748744, AT1G03230,Eukaryotic aspartyl protease family protein 
AT4G18190,Up,0.005760646, PUP6,Purine permease 6 
AT4G12300,Down,0.005851459, CYP706A4,"Cytochrome P450, family 706, subfamily A, polypeptide 4 "
AT4G30980,Down,0.005857447, LRL2,LJRHL1-like 2 
AT5G22100,Up,0.005925045, AT5G22100,RNA cyclase family protein 
AT1G08660,Down,0.005993917, MGP2,MALE GAMETOPHYTE DEFECTIVE 2 
AT3G28600,Up,0.006026706, AT3G28600,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT2G04066,Up,0.006088795, AT2G04066,MATE efflux family protein 
AT1G79700,Down,0.006121491, WRI4,Integrase-type DNA-binding superfamily protein 
AT3G63050,Up,0.006151702, AT3G63050,Uncharacterized protein 
AT4G27730,Down,0.006189802, OPT6,Oligopeptide transporter 1 
AT4G12440,Down,0.006237496, APT4,Adenine phosphoribosyl transferase 4 
AT4G15955,Down,0.006240458, AT4G15955,Alpha/beta-Hydrolases superfamily protein 
AT2G33585,Up,0.006241806, AT2G33585,Subtilisin-like protease 
AT1G30545,Down,0.006263174, AT1G30545,S-adenosyl-L-methionine-dependent methyltransferase superfamily protein 
AT1G57540,Down,0.006325838, AT1G57540,40S ribosomal protein 
AT5G49070,Up,0.006325838, KCS21,3-ketoacyl-CoA synthase 21 
AT3G44690,Up,0.006337772, AT3G44690,Uncharacterized protein 
AT4G39620,Down,0.006360933, EMB2453,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT2G29940,Up,0.006408419, ABCG31,Pleiotropic drug resistance 3 
AT5G08320,Down,0.006436211, AT5G08320,E2F-associated phosphoprotein 
AT1G20070,Down,0.006458975, AT1G20070,Uncharacterized protein 
AT2G47360,Down,0.006458975, AT2G47360,Uncharacterized protein 
AT2G43900,Down,0.00649751, 5PTase12,Endonuclease/exonuclease/phosphatase family protein 
AT1G21840,Down,0.006538233, UREF,Urease accessory protein F 
AT4G04360,Up,0.006552971, AT4G04360,"Transmembrane protein, putative (DUF1068) "
AT1G77400,Down,0.006561957, AT1G77400,Extensin-like protein 
AT2G41120,Up,0.006572921, AT2G41120,DUF309 domain protein 
AT4G00690,Down,0.006583293, ULP1B,UB-like protease 1B 
AT1G18250,Down,0.006643954, ATLP-1,Pathosis-related thaumatin superfamily protein 
AT5G16310,Down,0.006656733, UCH1,"Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1 "
AT1G07510,Up,0.006712111, ftsh10,FTSH protease 10 
AT1G07500,Up,0.006712111, AT1G07500,Uncharacterized protein 
AT3G53470,Down,0.00687298, AT3G53470,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase "
AT5G27460,Up,0.006896013, AT5G27460,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01225,Down,0.006900221, AT1G01225,NC domain-containing protein-like protein 
AT1G48200,Down,0.006900221, AT1G48200,Uncharacterized protein 
AT2G01510,Down,0.006911148, AT2G01510,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT3G06436,Down,0.006953542, AT3G06436,Uncharacterized protein 
AT3G13650,Up,0.006964708, AT3G13650,Disease resistance-responsive (dirigent-like protein) family protein 
AT1G53620,Up,0.007004294, AT1G53620,Uncharacterized protein 
AT1G19680,Down,0.007057044, AT1G19680,RING/U-box superfamily protein 
AT1G31243,Up,0.007160129, AT1G31243,Uncharacterized protein 
AT3G09580,Down,0.007200772, AT3G09580,FAD/NAD(P)-binding oxidoreductase family protein 
AT1G10810,Down,0.007217848, AT1G10810,NAD(P)-linked oxidoreductase superfamily protein 
AT2G23960,Down,0.007225549, AT2G23960,Class I glutamine amidotransferase-like superfamily protein 
AT1G13830,Up,0.007233908, AT1G13830,Carbohydrate-binding X8 domain superfamily protein 
AT4G29890,Down,0.007247612, AT4G29890,"Choline monooxygenase, putative (CMO-like) "
AT2G36650,Up,0.007387528, AT2G36650,CHUP1-like protein 
AT4G08590,Up,0.007425802, ORTHL,ORTHRUS-like protein 
AT3G26450,Down,0.007445306, AT3G26450,Polyketide cyclase/dehydrase and lipid transport superfamily protein 
AT3G21465,Down,0.007449724, AT3G21465,Adenylyl cyclase 
AT2G03310,Down,0.007489159, AT2G03310,Uncharacterized protein 
AT4G23490,Down,0.007563738, AT4G23490,Fringe-like protein (DUF604) 
AT3G48580,Down,0.00768769, XTH11,Xyloglucan endotransglucosylase/hydrolase 11 
AT4G26060,Up,0.007717632, AT4G26060,Ribosomal protein L18ae family 
AT2G12400,Up,0.007731203, AT2G12400,Plasma membrane fusion protein 
AT1G75450,Up,0.007766649, CKX5,Cytokinin oxidase 5 
AT2G38570,Down,0.007809786, AT2G38570,Uncharacterized protein 
AT3G12210,Down,0.007826913, AT3G12210,DNA binding protein 
AT1G04770,Down,0.007851547, AT1G04770,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT4G18550,Down,0.007860541, DSEL,Alpha/beta-Hydrolases superfamily protein 
AT3G18940,Down,0.007877919, AT3G18940,Clast3-like protein 
AT1G71150,Up,0.007901999, AT1G71150,Cyclin-D1-binding protein 
AT5G42770,Down,0.008027868, AT5G42770,Maf-like protein 
AT4G00050,Down,0.008068615, UNE10,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT2G30395,Up,0.008068615, OFP17,Ovate family protein 17 
AT1G29450,Down,0.008124035, AT1G29450,SAUR-like auxin-responsive protein family 
AT3G27030,Down,0.00812498, AT3G27030,Uncharacterized protein 
AT1G80970,Down,0.008215266, AT1G80970,XH domain-containing protein 
AT1G12550,Down,0.008257537, HPR3,D-isomer specific 2-hydroxyacid dehydrogenase family protein 
AT3G26350,Up,0.008277417, AT3G26350,Proline-rich receptor-like kinase 
AT5G65880,Down,0.008308998, AT5G65880,Uncharacterized protein 
AT4G05130,Down,0.008441972, ENT4,Equilibrative nucleoside transporter 4 
AT5G06570,Up,0.008487203, AT5G06570,Alpha/beta-Hydrolases superfamily protein 
AT1G11440,Down,0.008491129, AT1G11440,Uncharacterized protein 
AT5G66770,Down,0.008533976, AT5G66770,GRAS family transcription factor 
AT3G59420,Down,0.008559767, CR4,Crinkly4 
AT4G31360,Down,0.008641915, AT4G31360,Selenium binding protein 
AT5G25790,Up,0.008641915, AT5G25790,Tesmin/TSO1-like CXC domain-containing protein 
AT2G29340,Down,0.008653202, AT2G29340,NAD-dependent epimerase/dehydratase family protein 
AT2G47010,Up,0.008664062, AT2G47010,Calcium/calcium/calmodulin-dependent Serine/Threonine-kinase 
AT1G24145,Up,0.008739674, AT1G24145,Uncharacterized protein 
AT5G56580,Down,0.008745895, MKK6,MAP kinase kinase 6 
AT1G02360,Up,0.008764995, AT1G02360,Chitinase family protein 
AT1G67910,Down,0.008839448, AT1G67910,Uncharacterized protein 
AT3G21740,Down,0.008863982, APO4,APO RNA-binding protein (DUF794) 
AT3G01740,Down,0.008882504, AT3G01740,Mitochondrial ribosomal protein L37 
AT1G29670,Up,0.008908656, AT1G29670,GDSL-like Lipase/Acylhydrolase superfamily protein 
AT1G08630,Up,0.008961264, THA1,Threonine aldolase 1 
AT1G04760,Down,0.00897633, VAMP726,Vesicle-associated membrane protein 726 
AT1G55675,Down,0.009000453, AT1G55675,Uncharacterized protein 
AT3G11470,Down,0.009031844, AT3G11470,4'-phosphopantetheinyl transferase superfamily 
AT3G52820,Up,0.00906577, PAP22,Purple acid phosphatase 22 
AT5G04050,Down,0.00907439, AT5G04050,RNA-directed DNA polymerase (reverse transcriptase) 
AT4G35080,Up,0.009079387, AT4G35080,High-affinity nickel-transport family protein 
AT4G36240,Down,0.009086627, GATA7,GATA transcription factor 7 
AT4G01595,Down,0.009152651, AT4G01595,Protein kinase superfamily protein 
AT3G52075,Down,0.009172603, AT3G52075,Uncharacterized protein 
AT5G19210,Down,0.009209234, AT5G19210,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT5G45090,Up,0.009267652, PP2-A7,Phloem protein 2-A7 
AT2G41020,Down,0.009281283, AT2G41020,WW domain-containing protein 
AT4G26950,Up,0.009319877, AT4G26950,"Senescence regulator (Protein of unknown function, DUF584) "
AT3G60680,Up,0.009347906, AT3G60680,DUF641 family protein (DUF641) 
AT4G37110,Down,0.009356917, AT4G37110,Zinc-finger domain of monoamine-oxidase A repressor R1 
AT2G41460,Down,0.009479663, ARP,Apurinic endonuclease-redox protein 
AT1G75590,Down,0.009503523, AT1G75590,SAUR-like auxin-responsive protein family 
AT3G61111,Up,0.009524397, AT3G61111,Zinc-binding ribosomal protein family protein 
AT5G51850,Down,0.009613005, TRM24,Uncharacterized protein 
AT5G22930,Down,0.009616613, AT5G22930,Enabled-like protein (DUF1635) 
AT4G22960,Up,0.009616613, AT4G22960,FAM63A-like protein (DUF544) 
AT4G27760,Down,0.009654027, FEY,NAD(P)-binding Rossmann-fold superfamily protein 
AT4G25200,Up,0.009668563, HSP23.6-MITO,Mitochondrion-localized small heat shock protein 23.6 
AT5G54560,Up,0.009705197, AT5G54560,
AT3G07195,Up,0.00970913, AT3G07195,RPM1-interacting protein 4 (RIN4) family protein 
AT4G17790,Down,0.009720118, AT4G17790,SNARE associated Golgi protein family 
AT2G44993,Up,0.009763773, AT2G44993,Uncharacterized protein 
AT3G55490,Down,0.009889239, AT3G55490,GINS complex protein 
AT1G44110,Down,0.00994861, CYCA1;1,Cyclin A1;1 
AT1G51640,Up,0.009954885, ATEXO70G2,
AT1G17610,Up,0.010023156, AT1G17610,Disease resistance protein (TIR-NBS class) 
AT1G29260,Down,0.010023156, PEX7,Peroxin 7 
AT3G20680,Down,0.010023877, AT3G20680,Plant/protein (DUF1995) 
AT2G38195,Down,0.010198438, APD4,RING/U-box superfamily protein 
AT4G12250,Up,0.010205645, GAE5,UDP-D-glucuronate 4-epimerase 5 
AT5G10460,Down,0.010243296, AT5G10460,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT4G00820,Up,0.010259356, iqd17,IQ-domain 17 
AT4G14270,Down,0.01034408, AT4G14270,Polyadenylate-binding protein interacting protein 
AT4G16960,Up,0.010367847, AT4G16960,Disease resistance protein (TIR-NBS-LRR class) 
AT5G60250,Up,0.010390703, AT5G60250,Zinc finger (C3HC4-type RING finger) family protein 
AT4G15830,Down,0.010415059, AT4G15830,ARM repeat superfamily protein 
AT3G59430,Down,0.010447783, AT3G59430,Uncharacterized protein 
AT1G23850,Up,0.010485131, AT1G23850,Uncharacterized protein 
AT3G55240,Up,0.010501326, AT3G55240,Plant protein 1589 of unknown function 
AT2G28210,Up,0.010583105, ACA2,Alpha carbonic anhydrase 2 
AT5G63630,Down,0.010593557, AT5G63630,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT4G00335,Up,0.01062948, RHB1A,RING-H2 finger B1A 
AT3G54950,Up,0.010757578, pPLAIIIbeta,Patatin-like protein 6 
AT1G01200,Down,0.010780012, RABA3,RAB GTPase homolog A3 
AT5G18510,Up,0.01084155, AT5G18510,"Aminotransferase-like, plant mobile domain family protein "
AT1G08860,Up,0.010966419, BON3,Calcium-dependent phospholipid-binding Copine family protein 
AT4G12710,Up,0.010966419, AT4G12710,ARM repeat superfamily protein 
AT4G16447,Down,0.011027081, AT4G16447,Uncharacterized protein 
AT1G49450,Up,0.011203067, AT1G49450,Transducin/WD40 repeat-like superfamily protein 
AT1G61600,Down,0.011203067, AT1G61600,DUF1262 family protein (DUF1262) 
AT4G18380,Down,0.011209058, AT4G18380,F-box family protein 
AT5G52930,Up,0.011214303, AT5G52930,
AT1G03410,Down,0.011224168, 2A6,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT1G62170,Down,0.011224168, AT1G62170,Serine protease inhibitor (SERPIN) family protein 
AT1G61810,Up,0.01123466, BGLU45,Beta-glucosidase 45 
AT1G26220,Down,0.011255624, AT1G26220,Acyl-CoA N-acyltransferases (NAT) superfamily protein 
AT4G14830,Down,0.011268212, dl3455w,
AT3G57740,Up,0.011292611, AT3G57740,Protein kinase superfamily protein 
AT5G52720,Up,0.011292611, AT5G52720,Copper transport protein family 
AT1G55805,Down,0.011333622, AT1G55805,BolA-like family protein 
AT1G14680,Up,0.011445996, AT1G14680,Early endosome antigen 
AT3G22600,Up,0.011473312, AT3G22600,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 
AT2G40910,Up,0.011508369, AT2G40910,F-box and associated interaction domains-containing protein 
AT5G50120,Up,0.011508617, AT5G50120,Transducin/WD40 repeat-like superfamily protein 
AT1G08210,Down,0.011614257, AT1G08210,Eukaryotic aspartyl protease family protein 
AT2G40715,Up,0.011767071, AT2G40715,Uncharacterized protein 
AT2G34200,Down,0.011780679, AT2G34200,RING/FYVE/PHD zinc finger superfamily protein 
AT1G12870,Up,0.011913711, AT1G12870,F-box and associated interaction domains-containing protein 
AT2G17210,Down,0.011950103, AT2G17210,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT4G35783,Down,0.011978252, RTFL6,ROTUNDIFOLIA like 6 
AT4G12731,Up,0.011995949, AT4G12731,Uncharacterized protein 
AT3G45930,Down,0.01207204, AT3G45930,Histone superfamily protein 
AT1G14370,Up,0.012205284, APK2A,Protein kinase 2A 
AT2G03250,Up,0.012205284, AT2G03250,EXS (ERD1/XPR1/SYG1) family protein 
AT2G20020,Down,0.012243663, CAF1,RNA-binding CRS1 / YhbY (CRM) domain-containing protein 
AT1G52770,Down,0.01234707, AT1G52770,Phototropic-responsive NPH3 family protein 
AT1G63080,Down,0.012419265, AT1G63080,Pentatricopeptide repeat (PPR) superfamily protein 
AT3G14450,Down,0.012442424, CID9,CTC-interacting domain 9 
AT1G55230,Up,0.012538201, AT1G55230,"Proteinase inhibitor I4, serpin (DUF716) "
AT4G21680,Up,0.012575578, NRT1.8,NITRATE TRANSPORTER 1.8 
AT2G38050,Down,0.012592919, DET2,3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
AT2G43820,Up,0.012610347, UGT74F2,UDP-glucosyltransferase 74F2 
AT2G12462,Down,0.012640075, AT2G12462,Sterile alpha motif (SAM) domain protein 
AT5G10140,Up,0.012643287, FLC,K-box region and MADS-box transcription factor family protein 
AT5G17360,Up,0.01268735, AT5G17360,DNA ligase 
AT5G14070,Down,0.012743377, ROXY2,Thioredoxin superfamily protein 
AT2G44230,Up,0.012799851, AT2G44230,
AT1G79720,Down,0.012815769, AT1G79720,Eukaryotic aspartyl protease family protein 
AT2G37678,Down,0.012822349, FHY1,Far-red elongated hypocotyl 1 
AT1G07180,Up,0.012896388, NDA1,Alternative NAD(P)H dehydrogenase 1 
AT5G17970,Up,0.012896388, AT5G17970,Disease resistance protein (TIR-NBS-LRR class) family 
AT1G77810,Up,0.012956825, AT1G77810,Galactosyltransferase family protein 
AT4G28950,Down,0.013234087, ROP9,RHO-related protein from plants 9 
AT1G49000,Up,0.013234087, AT1G49000,Uncharacterized protein 
AT5G02650,Down,0.013390123, AT5G02650,Uncharacterized protein 
AT2G46210,Down,0.013405377, SLD2,Fatty acid/sphingolipid desaturase 
AT5G14710,Up,0.013406273, AT5G14710,Proteasome assembly chaperone-like protein 
AT1G48640,Up,0.013527668, AT1G48640,Transmembrane amino acid transporter family protein 
AT3G45851,Down,0.013538303, AT3G45851,Uncharacterized protein 
AT3G21610,Down,0.013583675, AT3G21610,Acid phosphatase/vanadium-dependent haloperoxidase-related protein 
AT1G22220,Down,0.01363654, AUF2,F-box family protein 
AT1G78090,Down,0.013661554, TPPB,Trehalose-6-phosphate phosphatase 
AT5G01840,Down,0.013697452, OFP1,Ovate family protein 1 
AT1G64150,Down,0.013706942, AT1G64150,Uncharacterized protein family (UPF0016) 
AT5G59360,Down,0.013756315, AT5G59360,Uncharacterized protein 
AT3G57350,Down,0.013867393, AT3G57350,Nucleoporin interacting component (Nup93/Nic96-like) family protein 
AT4G01995,Down,0.013912561, AT4G01995,Beta-carotene isomerase D27 
AT5G67200,Down,0.013928313, AT5G67200,Leucine-rich repeat protein kinase family protein 
AT1G69710,Up,0.013936222, AT1G69710,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein 
AT5G24510,Up,0.014054388, AT5G24510,60S acidic ribosomal protein family 
AT3G14225,Up,0.014104045, GLIP4,GDSL-motif lipase 4 
AT5G44600,Down,0.014160264, AT5G44600,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT5G46440,Up,0.014221335, AT5G46440,PPR containing-like protein 
AT1G54650,Down,0.014306124, AT1G54650,Methyltransferase family protein 
AT3G11290,Down,0.014376092, AT3G11290,Myb/SANT-like DNA-binding domain protein 
AT4G30090,Up,0.01444734, AT4G30090,Golgin family A protein 
AT2G37470,Down,0.014455659, AT2G37470,Histone superfamily protein 
AT2G33100,Up,0.014505051, CSLD1,Cellulose synthase-like D1 
AT3G04770,Up,0.014505051, RPSAb,40s ribosomal protein SA B 
AT3G29130,Down,0.014562112, AT3G29130,KxDL motif protein 
AT4G28550,Up,0.014699066, AT4G28550,Ypt/Rab-GAP domain of gyp1p superfamily protein 
AT5G21326,Down,0.014707963, CIPK26,Ca2+regulated serine-threonine protein kinase family protein 
AT1G66090,Up,0.014718399, AT1G66090,Disease resistance protein (TIR-NBS class) 
AT2G45630,Down,0.014742411, AT2G45630,D-isomer specific 2-hydroxyacid dehydrogenase family protein 
AT3G13600,Up,0.014899798, AT3G13600,Calmodulin-binding family protein 
AT2G42820,Down,0.014942298, HVA22F,HVA22-like protein F 
AT5G18930,Down,0.014961485, BUD2,Adenosylmethionine decarboxylase family protein 
AT5G48360,Down,0.014979119, AT5G48360,Actin-binding FH2 (formin homology 2) family protein 
AT1G01740,Up,0.015034273, BSK4,Kinase with tetratricopeptide repeat domain-containing protein 
AT1G28180,Up,0.015083327, AT1G28180,DEAD-box ATP-dependent RNA helicase-like protein 
AT1G52340,Down,0.015209883, ABA2,NAD(P)-binding Rossmann-fold superfamily protein 
AT1G69200,Down,0.015311992, FLN2,Fructokinase-like protein 
AT5G05410,Up,0.015313913, DREB2A,DRE-binding protein 2A 
AT3G09050,Down,0.015461713, AT3G09050,8-amino-7-oxononanoate synthase 
AT5G65410,Down,0.015611879, HB25,Homeobox protein 25 
AT5G25260,Up,0.01580585, AT5G25260,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT4G38860,Down,0.015810426, AT4G38860,SAUR-like auxin-responsive protein family 
AT1G80590,Up,0.015891261, WRKY66,WRKY DNA-binding protein 66 
AT1G17090,Down,0.015902249, AT1G17090,Uncharacterized protein 
AT5G53750,Up,0.015983793, AT5G53750,CBS domain-containing protein 
AT1G55050,Down,0.016075622, AT1G55050,Uncharacterized protein 
AT5G38240,Up,0.016118426, AT5G38240,Protein kinase family protein 
AT1G19025,Up,0.016157641, AT1G19025,DNA repair metallo-beta-lactamase family protein 
AT3G17070,Up,0.016198408, AT3G17070,Peroxidase family protein 
AT5G47370,Down,0.016243358, HAT2,Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein 
AT1G46264,Down,0.016283971, HSFB4,Heat shock transcription factor B4 
AT5G17640,Down,0.016298956, ASG1,Nuclear factor 1 A-type protein (DUF1005) 
AT4G38330,Down,0.016395313, AT4G38330,Hemolysin-III integral membrane-like protein 
AT2G41231,Up,0.016454722, AT2G41231,Uncharacterized protein 
AT4G33170,Down,0.016476042, AT4G33170,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT2G22560,Up,0.016543734, NET2D,Kinase interacting (KIP1-like) family protein 
AT3G12110,Down,0.016639325, ACT11,Actin-11 
AT4G28830,Down,0.016648882, AT4G28830,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT5G63225,Up,0.016669951, AT5G63225,Carbohydrate-binding X8 domain superfamily protein 
AT1G21010,Up,0.016760364, AT1G21010,Poly polymerase 
AT4G20140,Down,0.016824542, GSO1,Leucine-rich repeat transmembrane protein kinase 
AT4G27650,Down,0.016874048, PEL1,Eukaryotic release factor 1 (eRF1) family protein 
AT5G58310,Down,0.016917685, MES18,Methyl esterase 18 
AT4G31840,Down,0.017177488, ENODL15,Early nodulin-like protein 15 
AT1G03120,Down,0.017189598, RAB28,Responsive to abscisic acid 28 
AT4G21780,Up,0.017240021, AT4G21780,Uncharacterized protein 
AT1G03660,Up,0.017316081, AT1G03660,Ankyrin-repeat containing protein 
AT2G40230,Down,0.017463187, AT2G40230,HXXXD-type acyl-transferase family protein 
AT5G01470,Down,0.017496297, AT5G01470,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT5G19151,Down,0.017555077, AT5G19151,Uncharacterized protein 
AT3G06420,Up,0.01755615, ATG8H,Ubiquitin-like superfamily protein 
AT1G03540,Down,0.017575752, AT1G03540,Pentatricopeptide repeat (PPR-like) superfamily protein 
AT2G33255,Down,0.017575752, AT2G33255,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT3G02370,Down,0.017586535, AT3G02370,TRNA-splicing endonuclease subunit 
AT4G02700,Down,0.017625791, SULTR3;2,Sulfate transporter 3;2 
AT5G55180,Down,0.017625791, AT5G55180,O-Glycosyl hydrolases family 17 protein 
AT3G04860,Down,0.017637287, AT3G04860,
AT3G02040,Up,0.017689429, SRG3,Senescence-related 3 
AT4G01650,Down,0.017743547, AT4G01650,Polyketide cyclase / dehydrase and lipid transport protein 
AT1G66780,Up,0.017754229, AT1G66780,MATE efflux family protein 
AT1G33960,Up,0.017758495, AIG1,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT5G01370,Down,0.017816915, ACI1,ALC-interacting protein 1 
AT1G62830,Down,0.017894144, LDL1,LSD1-like 1 
AT5G13860,Up,0.017965588, ELC-Like,ELCH-like protein 
AT1G04710,Down,0.017974622, PKT4,Peroxisomal 3-ketoacyl-CoA thiolase 4 
AT5G46115,Up,0.018283913, AT5G46115,Uncharacterized protein 
AT1G09200,Down,0.018295595, AT1G09200,Histone superfamily protein 
AT4G03450,Up,0.018333702, AT4G03450,Ankyrin repeat family protein 
AT3G07640,Down,0.018334207, AT3G07640,Period circadian protein 
AT3G51870,Down,0.018433647, AT3G51870,Mitochondrial substrate carrier family protein 
AT3G25980,Down,0.01864603, MAD2,DNA-binding HORMA family protein 
AT3G18900,Down,0.018669227, AT3G18900,Ternary complex factor MIP1 leucine-zipper protein 
AT1G70150,Down,0.018792657, AT1G70150,Zinc ion binding protein 
AT4G29740,Up,0.018800856, CKX4,Cytokinin oxidase 4 
AT5G48870,Down,0.018875468, SAD1,Small nuclear ribonucleoprotein family protein 
AT1G16570,Down,0.01891443, AT1G16570,UDP-Glycosyltransferase superfamily protein 
AT1G74880,Down,0.018942858, NdhO,NAD(P)H:plastoquinone dehydrogenase complex subunit O 
AT1G29980,Down,0.019050036, AT1G29980,"Choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642) "
AT5G55950,Up,0.019082055, AT5G55950,Nucleotide/sugar transporter family protein 
AT1G65240,Up,0.019164102, AT1G65240,Eukaryotic aspartyl protease family protein 
AT5G59020,Down,0.019179336, AT5G59020,"Hepatocyte growth factor activator, putative (DUF3527) "
AT1G23880,Down,0.019258535, AT1G23880,NHL domain-containing protein 
AT5G63500,Down,0.019264376, AT5G63500,"Transmembrane protein, putative (DUF 3339) "
AT2G43720,Up,0.019376855, AT2G43720,FAM136A-like protein (DUF842) 
AT1G21710,Down,0.019401647, OGG1,8-oxoguanine-DNA glycosylase 1 
AT3G12910,Up,0.019459959, AT3G12910,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein 
AT1G15760,Down,0.019492131, AT1G15760,Sterile alpha motif (SAM) domain-containing protein 
AT3G47090,Up,0.01962127, AT3G47090,Leucine-rich repeat protein kinase family protein 
AT4G14850,Down,0.019628315, LOI1,Pentatricopeptide repeat (PPR) superfamily protein 
AT5G17270,Down,0.019653652, AT5G17270,Protein prenylyltransferase superfamily protein 
AT2G45200,Down,0.019748989, GOS12,Golgi snare 12 
AT4G19400,Down,0.019788862, AT4G19400,Profilin family protein 
AT3G01440,Down,0.019790732, PnsL3,PsbQ-like 1 
AT3G10940,Up,0.019865954, LSF2,Dual specificity protein phosphatase (DsPTP1) family protein 
AT2G37320,Down,0.01994005, AT2G37320,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT2G01180,Up,0.020223455, PAP1,Phosphatidic acid phosphatase 1 
AT4G19010,Up,0.020251948, AT4G19010,AMP-dependent synthetase and ligase family protein 
AT5G22290,Up,0.020261477, NAC089,NAC domain containing protein 89 
AT2G23945,Down,0.020281845, AT2G23945,Eukaryotic aspartyl protease family protein 
AT2G29120,Up,0.020287892, GLR2.7,Glutamate receptor 2.7 
AT4G31910,Down,0.020305371, BAT1,HXXXD-type acyl-transferase family protein 
AT3G24315,Down,0.020320432, AtSec20,Sec20 family protein 
AT4G00070,Down,0.020367295, AT4G00070,RING/U-box superfamily protein 
AT2G02340,Up,0.020438902, PP2-B8,Phloem protein 2-B8 
AT4G32295,Down,0.020438902, AT4G32295,Histone acetyltransferase 
AT1G25375,Down,0.020518025, AT1G25375,Metallo-hydrolase/oxidoreductase superfamily protein 
AT4G24860,Down,0.020585132, AT4G24860,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT3G11640,Down,0.02067325, AT3G11640,Uncharacterized protein 
AT2G34940,Up,0.020742347, VSR5,VACUOLAR SORTING RECEPTOR 5 
AT2G46140,Up,0.020759465, AT2G46140,Late embryosis abundant protein 
AT3G43580,Up,0.020781541, AT3G43580,Beta-galactosidase related protein 
AT4G10960,Up,0.020802395, UGE5,UDP-D-glucose/UDP-D-galactose 4-epimerase 5 
AT3G57780,Down,0.021476726, AT3G57780,Nucleolar-like protein 
AT3G26690,Up,0.021480246, NUDX13,Nudix hydrolase homolog 13 
AT1G73640,Down,0.021488006, RABA6a,RAB GTPase homolog A6A 
AT3G10320,Up,0.021534743, AT3G10320,Glycosyltransferase family 61 protein 
AT1G76405,Down,0.021673827, AT1G76405,Outer envelope pore 21B-like protein 
AT1G55280,Down,0.021697557, AT1G55280,"Lipase/lipooxygenase, PLAT/LH2 family protein "
